league_code,date,home_team,away_team,home_goals,away_goals,full_time_result_code,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,source_file,season,league,match_result,goal_difference,shot_difference,shots_on_target_difference,corner_difference,foul_difference,yellow_card_difference,red_card_difference,home_matches_played_before,home_win_rate_before,home_goals_scored_last_5,home_goals_conceded_last_5,home_points_last_5,home_rest_days,away_matches_played_before,away_win_rate_before,away_goals_scored_last_5,away_goals_conceded_last_5,away_points_last_5,away_rest_days,home_advantage,team_experience_difference,win_rate_before_difference,goals_scored_last_5_difference,goals_conceded_last_5_difference,points_last_5_difference
F1,2021-08-06,Monaco,Nantes,1,1,D,15.0,5.0,3.0,1.0,6.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,10.0,2.0,3.0,-8.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-07,Lyon,Brest,1,1,D,17.0,13.0,4.0,8.0,10.0,12.0,9.0,4.0,1.0,1.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,4.0,-4.0,5.0,-2.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-07,Troyes,Paris SG,1,2,A,15.0,12.0,7.0,3.0,3.0,15.0,9.0,1.0,1.0,4.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Away Win,-1,3.0,4.0,8.0,-12.0,-3.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Bordeaux,Clermont,0,2,A,10.0,19.0,6.0,10.0,13.0,9.0,5.0,10.0,1.0,0.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Away Win,-2,-9.0,-4.0,-5.0,4.0,1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Metz,Lille,3,3,D,12.0,18.0,5.0,7.0,9.0,10.0,4.0,5.0,1.0,2.0,1.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,-6.0,-2.0,-1.0,-1.0,-1.0,1.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Montpellier,Marseille,2,3,A,8.0,21.0,1.0,7.0,10.0,5.0,6.0,11.0,0.0,1.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Away Win,-1,-13.0,-6.0,-5.0,5.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Nice,Reims,0,0,D,12.0,5.0,2.0,0.0,10.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Rennes,Lens,1,1,D,10.0,11.0,2.0,6.0,10.0,14.0,3.0,9.0,0.0,2.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,-1.0,-4.0,-6.0,-4.0,-2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,St Etienne,Lorient,1,1,D,20.0,12.0,3.0,3.0,10.0,14.0,8.0,4.0,2.0,3.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Draw,0,8.0,0.0,4.0,-4.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-08,Strasbourg,Angers,0,2,A,7.0,9.0,1.0,2.0,18.0,18.0,5.0,4.0,2.0,3.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Away Win,-2,-2.0,-1.0,1.0,0.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-13,M'gladbach,Bayern Munich,1,1,D,11.0,20.0,5.0,10.0,7.0,4.0,3.0,8.0,2.0,0.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Draw,0,-9.0,-5.0,-5.0,3.0,2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-13,Brentford,Arsenal,2,0,H,8.0,22.0,3.0,4.0,12.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,2,-14.0,-1.0,-3.0,4.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
F1,2021-08-13,Lorient,Monaco,1,0,H,2.0,12.0,2.0,3.0,17.0,15.0,0.0,6.0,3.0,2.0,0.0,0.0,2122_f1.csv,2122,France Ligue 1,Home Win,1,-10.0,-1.0,-6.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
SP1,2021-08-13,Valencia,Getafe,1,0,H,4.0,22.0,2.0,4.0,24.0,15.0,1.0,9.0,6.0,3.0,1.0,1.0,2122_sp1.csv,2122,Spain La Liga,Home Win,1,-18.0,-2.0,-8.0,9.0,3.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Augsburg,Hoffenheim,0,4,A,7.0,15.0,0.0,8.0,8.0,9.0,6.0,5.0,1.0,2.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Away Win,-4,-8.0,-8.0,1.0,-1.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Bielefeld,Freiburg,0,0,D,10.0,14.0,4.0,6.0,13.0,10.0,4.0,9.0,3.0,4.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Draw,0,-4.0,-2.0,-5.0,3.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Dortmund,Ein Frankfurt,5,2,H,12.0,12.0,7.0,3.0,5.0,14.0,7.0,3.0,0.0,0.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,3,0.0,4.0,4.0,-9.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Stuttgart,Greuther Furth,5,1,H,30.0,8.0,15.0,4.0,11.0,8.0,9.0,2.0,0.0,1.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,4,22.0,11.0,7.0,3.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Union Berlin,Leverkusen,1,1,D,8.0,16.0,5.0,4.0,13.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,2122_d1.csv,2122,Germany Bundesliga,Draw,0,-8.0,1.0,-5.0,8.0,-1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
D1,2021-08-14,Wolfsburg,Bochum,1,0,H,21.0,7.0,9.0,1.0,9.0,7.0,5.0,2.0,0.0,2.0,0.0,1.0,2122_d1.csv,2122,Germany Bundesliga,Home Win,1,14.0,8.0,3.0,2.0,-2.0,-1.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-14,Burnley,Brighton,1,2,A,14.0,14.0,3.0,8.0,10.0,7.0,7.0,6.0,2.0,1.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Away Win,-1,0.0,-5.0,1.0,3.0,1.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-14,Chelsea,Crystal Palace,3,0,H,13.0,4.0,6.0,1.0,15.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,3,9.0,5.0,3.0,4.0,0.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
E0,2021-08-14,Everton,Southampton,3,1,H,14.0,6.0,6.0,3.0,13.0,15.0,6.0,8.0,2.0,0.0,0.0,0.0,2122_e0.csv,2122,England Premier League,Home Win,2,8.0,3.0,-2.0,-2.0,2.0,0.0,0.0,,,,,,0.0,,,,,,1.0,0.0,,,,
